Corner ID,Play quality,Group,Game,Minute
COR-11,2.9450000000000003,Front post multiple shot targets,Brighton (H),8
COR-12,2.225,Short lead,Man City (A),96
COR-7,2.08,Front post single shot target,Brighton (H),48
COR-13,1.94,Short lead,Man City (A),72
COR-9,1.895,Front post single shot target,Brighton (H),46
COR-46,1.8350000000000002,Front post multiple shot targets,London City (H),2
COR-35,1.815,Front post single shot target,West Ham (A),8
COR-37,1.81,Front post single shot target,London City (H),78
COR-2,1.425,Front post single shot target,Brighton (H),91
COR-3,1.395,Front post single shot target,Brighton (H),79
COR-31,1.3800000000000001,Back post with decoy to front,West Ham (A),31
COR-15,1.345,Short lead,Man City (A),34
COR-24,1.34,Front post multiple shot targets,Man Utd (A),20
COR-23,1.305,Front post multiple shot targets,Man Utd (A),27
COR-6,1.23,Front post single shot target,Brighton (H),57
COR-34,1.195,Back post with decoy to front,West Ham (A),7
COR-19,1.175,Short lead,Aston Villa (H),9
COR-33,1.0750000000000002,Back post with decoy to front,West Ham (A),16
COR-8,0.8300000000000001,Front post single shot target,Brighton (H),48
COR-14,0.79,Short lead,Man City (A),66
COR-41,0.79,Back post with decoy to front,London City (H),52
COR-20,0.745,Back post with decoy to front,Aston Villa (H),4
COR-43,0.625,Back post with decoy to front,London City (H),34
COR-4,0.58,Front post single shot target,Brighton (H),63
